Household ID,Date,House Type,Family Members,Number of Rooms,AC Usage (Hours),Fan Usage (Hours),Refrigerator Usage (Hours),Washing Machine Usage (Hours),Water Motor Usage (Hours),Lighting (Hours),Outdoor Temperature (C),Day of Week,Season,Is Holiday,Daily Consumption (kWh)
BDD640FB,2025-10-15,Single Family Home,3,3,0.1,6.2,12.9,0.7,1.2,11.4,27.7,Wednesday,Spring/Autumn,0,7.91
07A0CA6E,2025-08-10,Single Family Home,1,4,6.3,14.6,10.1,1.4,2.3,6.6,39.2,Sunday,Summer,1,22.76
8B8148F6,2025-12-07,Portion,5,3,0.0,2.4,10.0,2.6,1.3,10.2,8.3,Sunday,Winter,1,8.22
B2B9437A,2025-12-08,Villa,3,6,0.0,3.8,10.4,1.2,0.8,11.1,7.3,Monday,Winter,1,12.7
18C26797,2025-11-15,Villa,5,5,0.0,2.9,13.9,1.8,1.0,9.3,17.1,Saturday,Winter,1,12.09
1FF49B78,2026-06-28,Portion,2,5,14.6,18.9,10.2,1.5,2.6,5.2,41.2,Sunday,Summer,1,36.51
E2ACF72F,2026-05-18,Single Family Home,2,3,2.6,15.3,11.5,0.4,2.5,4.8,37.3,Monday,Summer,0,13.96
146D3F31,2026-05-16,Apartment,7,3,12.5,19.3,12.9,1.3,1.8,5.5,44.4,Saturday,Summer,1,32.41
5D65A441,2025-09-04,Villa,4,10,11.6,20.2,13.1,1.5,2.8,4.1,41.4,Thursday,Summer,1,43.25
A5E5A5AB,2025-08-02,Single Family Home,4,4,3.3,23.3,11.3,2.3,2.8,5.6,37.7,Saturday,Summer,1,23.35
FD5166E6,2026-06-10,Single Family Home,6,3,8.6,15.0,11.1,0.6,2.3,7.6,39.6,Wednesday,Summer,0,24.18
50C187FC,2025-11-30,Apartment,4,4,0.0,4.0,10.4,1.1,1.0,6.7,8.3,Sunday,Winter,1,8.49
366EB16F,2026-03-03,Portion,8,4,1.7,4.5,14.0,2.1,1.4,11.8,29.5,Tuesday,Spring/Autumn,1,15.76
8FB5D27B,2026-01-20,Portion,7,5,0.0,2.9,12.1,0.3,1.2,9.8,5.2,Tuesday,Winter,0,8.68
827050A8,2026-01-03,Apartment,2,2,0.0,1.8,13.5,1.5,1.5,9.0,11.5,Saturday,Winter,1,6.26
AE340454,2025-12-08,Apartment,7,3,0.0,3.5,12.6,2.2,0.8,6.9,18.7,Monday,Winter,1,8.6
8DA0365B,2026-05-18,Apartment,2,4,13.8,18.4,11.3,1.0,1.5,7.7,40.4,Monday,Summer,1,35.76
1C8EAEE9,2025-10-22,Single Family Home,8,3,1.2,4.5,13.8,1.2,1.9,8.9,30.0,Wednesday,Spring/Autumn,1,9.77
2DBC2134,2026-01-08,Apartment,5,4,0.0,3.1,11.9,0.5,0.6,7.6,16.4,Thursday,Winter,0,8.95
295B4715,2026-01-20,Apartment,6,3,0.0,0.8,12.9,0.2,1.0,7.9,11.3,Tuesday,Winter,0,8.63
E0F3EAB0,2026-07-02,Villa,4,5,10.4,18.2,10.9,0.3,1.7,6.4,41.5,Thursday,Summer,0,29.32
14296C07,2025-08-07,Portion,2,4,2.4,19.6,13.6,0.9,1.8,4.3,37.2,Thursday,Summer,0,15.91
8CBFEDB0,2025-09-05,Portion,4,4,8.1,13.6,12.3,1.9,2.9,7.1,41.7,Friday,Summer,1,28.05
A65E688E,2025-11-20,Portion,2,4,0.0,0.4,11.7,0.5,0.9,10.4,7.9,Thursday,Winter,0,8.84
969B6662,2026-01-25,Single Family Home,1,3,0.0,0.4,11.4,2.7,0.9,7.5,19.8,Sunday,Winter,1,6.02
3A9BEDD4,2025-07-31,Apartment,6,2,10.2,15.3,13.7,0.4,1.9,7.4,39.5,Thursday,Summer,0,24.91
36D8393A,2026-01-20,Portion,4,6,0.0,4.0,13.9,2.9,1.3,11.1,5.8,Tuesday,Winter,1,13.13
A8B317FA,2025-12-11,Portion,7,6,0.0,0.9,10.2,0.4,0.9,11.9,12.3,Thursday,Winter,0,10.17
A56C0941,2025-08-12,Portion,6,3,10.6,17.1,14.0,0.6,2.9,6.9,42.8,Tuesday,Summer,0,27.63
72D8567D,2025-08-27,Single Family Home,5,6,7.8,19.0,13.0,0.1,2.3,6.3,38.0,Wednesday,Summer,0,30.01
71710434,2026-04-28,Apartment,1,4,0.6,11.7,10.7,0.6,1.1,10.1,30.2,Tuesday,Spring/Autumn,0,11.44
C0E9AB30,2026-05-13,Single Family Home,7,6,7.3,15.0,12.5,1.8,2.4,6.3,36.2,Wednesday,Summer,1,28.51
E7067EF4,2025-07-28,Portion,1,6,8.0,20.6,11.6,2.3,1.9,5.2,44.3,Monday,Summer,1,29.91
747B6DBA,2025-10-19,Portion,3,4,0.3,7.7,14.0,1.1,2.0,7.3,29.0,Sunday,Spring/Autumn,1,10.88
0EF8C2D6,2026-02-03,Apartment,6,2,0.0,3.5,11.5,0.2,1.4,11.0,19.0,Tuesday,Winter,0,7.91
EB5CF467,2026-05-15,Single Family Home,1,3,15.9,19.8,13.3,0.3,1.5,6.7,41.1,Friday,Summer,0,36.93
ACDABACC,2026-05-18,Portion,2,4,2.7,13.3,11.1,0.6,2.3,6.9,36.3,Monday,Summer,0,15.55
A8499B92,2026-02-05,Villa,5,6,0.0,1.1,13.6,2.7,1.0,6.6,14.5,Thursday,Winter,1,9.47
21813D25,2026-03-09,Villa,8,7,0.0,10.2,11.0,0.7,1.6,9.3,23.3,Monday,Spring/Autumn,0,16.57
FF9AB5C2,2026-01-29,Apartment,2,4,0.0,0.3,13.6,0.5,1.4,11.0,5.1,Thursday,Winter,0,9.71
EEEA163E,2025-11-11,Apartment,4,3,0.0,0.5,13.6,2.6,0.8,11.2,7.2,Tuesday,Winter,1,10.11
8B10550C,2026-03-21,Apartment,5,4,1.0,4.8,13.5,1.8,1.8,9.7,22.5,Saturday,Spring/Autumn,1,11.56
2260E70F,2025-10-11,Apartment,3,3,3.5,11.8,13.5,1.0,1.8,10.4,31.2,Saturday,Spring/Autumn,1,16.07
B7B56EA7,2025-11-09,Villa,8,7,0.0,3.2,13.2,1.5,1.4,10.7,19.0,Sunday,Winter,1,12.92
0D01280F,2025-08-09,Portion,5,3,14.6,14.7,11.8,1.6,2.7,7.2,43.7,Saturday,Summer,1,33.41
217D65A0,2026-02-25,Villa,3,10,0.0,0.8,13.5,2.9,0.8,7.7,5.4,Wednesday,Winter,1,14.05
8F9797B0,2025-07-10,Apartment,3,4,15.8,18.4,10.5,1.0,2.9,4.7,39.0,Thursday,Summer,0,39.9
8D7248E2,2025-08-30,Single Family Home,1,5,2.7,17.2,11.3,2.2,2.6,6.0,37.7,Saturday,Summer,1,20.18
CBCEABDE,2026-06-27,Apartment,6,2,8.5,20.5,13.7,2.1,1.5,6.9,40.8,Saturday,Summer,1,24.09
1A50AEC3,2025-11-13,Portion,3,4,0.0,1.5,12.7,0.3,0.6,7.9,15.1,Thursday,Winter,0,8.4
2D534DD0,2026-05-25,Apartment,3,4,9.0,15.7,11.6,1.6,2.1,4.5,42.2,Monday,Summer,1,25.91
